	id	codigo_ngbe	codigo_ngbe_text	nombre_extendido	identificador_geografico	nombre_alternativo_2	nombre_alternativo_3	nombre_variante_1	nombre_variante_2	nombre_variante_3	fuente_extendido	fuente_idg	fuente_alternativo_2	fuente_alternativo_3	fuente_variante_1	fuente_variante_2	fuente_variante_3	idioma_extendido	idioma_idg	idioma_alternativo_2	idioma_alternativo_3	idioma_variante_1	idioma_variante_2	idioma_variante_3	estatus_extendido	estatus_idg	estatus_alternativo_2	estatus_alternativo_3	estatus_variante_1	estatus_variante_2	estatus_variante_3	long_etrs89_regcan95	lat_etrs89_regcan95	huso_etrs89_regcan95	x_utm_etrs89_regcan95	y_utm_etrs89_regcan95	hojamtn_25	codigo_ine	provincias_nombre	provincias_id
1546	2708354	1.3	División administrativa.Municipio		Canena							MITMA.IGN.NGMEP														Oficial						-3.48147823	38.04885135	30.0	457755.434498975	4211344.6009139	0906c3	23020000000	Jaén	23
1590	2707638	1.3	División administrativa.Municipio		Cortes de Baza							MITMA.IGN.NGMEP														Oficial						-2.771069	37.65604885	30.0	520193.056263509	4167678.68832984	0972c1	18053000000	Granada	18
1594	2707646	1.3	División administrativa.Municipio		Dehesas de Guadix							MITMA.IGN.NGMEP														Oficial						-3.10106009	37.5910137	30.0	491078.14327722	4160443.51985063	0971c1	18064000000	Granada	18
1609	2710891	1.3	División administrativa.Municipio		Espartinas							MITMA.IGN.NGMEP														Oficial						-6.12488688	37.38262852	29.0	754557.032107077	4141199.51278104	0984c3	41040000000	Sevilla	41
1618	2707664	1.3	División administrativa.Municipio		Guadahortuna							MITMA.IGN.NGMEP														Oficial						-3.39966868	37.55822516	30.0	464700.63032338	4156876.07484489	0970c3	18088000000	Granada	18
1665	2708387	1.3	División administrativa.Municipio		Lopera							MITMA.IGN.NGMEP														Oficial						-4.21432714	37.94392635	30.0	393302.224927274	4200288.86221547	0924c2	23056000000	Jaén	23
1713	2707712	1.3	División administrativa.Municipio		Padul							MITMA.IGN.NGMEP														Oficial						-3.62445156	37.02421644	30.0	444456.076118083	4097741.04748541	1026c4	18150000000	Granada	18
1718	2708397	1.3	División administrativa.Municipio		Peal de Becerro							MITMA.IGN.NGMEP														Oficial						-3.12686117	37.91218339	30.0	488848.657219024	4196079.24302839	0928c3	23066000000	Jaén	23
1832	2707741	1.3	División administrativa.Municipio		Ventas de Huelma							MITMA.IGN.NGMEP														Oficial						-3.82180401	37.07036589	30.0	426945.85552856	4102994.15939152	1026c3	18185000000	Granada	18
2073	2708379	1.3	División administrativa.Municipio		Iznatoraf							MITMA.IGN.NGMEP														Oficial						-3.0321245	38.15764742	30.0	497185.603195588	4223307.05130376	0907c1	23048000000	Jaén	23
