	codparcela	min_fecha	max_fecha	102_coordenada_x_(utm)	103_coordenada_y_(utm)	days
2020	010-00362-01-00	2021-02-16	2021-03-17	445541.0	4206097.0	29.0
2025	010-00449-00-00	2007-03-14	2007-11-12	507336.0	4168612.0	243.0
2027	010-00522-01-0	2020-03-25	2020-11-04	438055.0	4147169.0	224.0
2030	010-00544-01-05	2015-03-17	2015-10-21	437154.0	4146991.0	218.0
2034	010-00614-01-0	2020-03-25	2020-11-03	437954.0	4146156.0	223.0
2035	010-00631-05	2020-07-08	2020-10-06	504710.0	4228292.0	90.0
2037	010-00655-01-0	2020-03-25	2020-11-03	439586.0	4147947.0	223.0
2040	011-00002-00-25	2009-03-09	2009-03-09	312966.0	4177083.0	0.0
2042	011-00002-02	2015-09-16	2015-11-04	406765.0	4143312.0	49.0
2050	011-00007-03	2011-03-09	2011-06-29	333887.0	4096512.0	112.0
2051	011-00007-03-03	2011-03-09	2011-11-16	333887.0	4096512.0	252.0
2056	011-00010-07-01	2014-02-21	2014-10-28	322080.0	4178461.0	249.0
2057	011-00011-11	2019-07-01	2019-10-07	366915.0	4165214.0	98.0
2068	011-00023-02	2021-03-02	2021-03-16	307806.0	4086357.0	14.0
2072	011-00025-05-2	2020-03-11	2020-10-01	326521.53	4183849.84	204.0
2074	011-00030-00-00	2007-03-13	2007-11-16	347767.0	4108977.0	248.0
2076	011-00030-01	2010-03-10	2010-11-16	347705.0	4109002.0	251.0
2082	011-00036-49-00	2015-03-18	2015-06-17	381186.0	4209486.0	91.0
2094	011-00062-02-00	2014-03-13	2014-11-10	306538.0	4172898.0	242.0
2102	011-00073-00-80	2009-03-10	2009-05-06	384392.0	4133739.0	57.0
2111	011-00086-01	2016-03-28	2016-10-31	476339.0	4215741.0	217.0
2114	011-00087-02-00	2019-03-18	2019-10-08	306426.99153	4172231.5921	204.0
2115	011-00087-02-01	2019-10-15	2019-10-29	306426.0	4172231.0	14.0
2125	011-00097-01-00	2011-03-16	2011-11-23	381797.0	4143117.0	252.0
2130	011-00108-14-1	2020-04-06	2020-10-13	478055.0	4215120.0	190.0
2137	011-00125-03-0	2014-06-09	2014-10-28	445175.0	4102167.0	141.0
2138	011-00125-03-00	2011-08-08	2011-10-31	445210.53	4102201.26	84.0
2153	011-00213-00-00	2006-05-29	2006-11-06	469956.0	4212308.0	161.0
2157	011-00231-01-00	2021-03-15	2021-03-15	481738.0	4216515.0	0.0
2165	011-00275-00-01	2011-03-14	2011-11-02	399946.0	4118233.0	233.0
2182	011-00428-04-00	2013-03-18	2013-11-11	361462.0	4160862.0	238.0
2190	011-00541-01-0	2012-03-14	2012-11-14	371724.0	4122426.0	245.0
2192	011-00541-01-01	2010-03-10	2010-11-17	371724.0	4122426.0	252.0
2193	011-00555-01-04	2006-08-01	2006-10-23	428545.0	4106021.0	83.0
2196	011-00593-00-00	2006-03-13	2006-10-30	439299.0	4208806.0	231.0
2202	012-00001-04-00	2021-03-10	2021-03-24	314124.0	4137548.0	14.0
2204	012-00002-02-GD	2021-01-18	2021-03-22	220774.0	4132155.0	63.0
2207	012-00003-00-00	2006-03-28	2006-11-06	475514.0	4188142.0	223.0
2211	012-00005-14	2015-03-09	2015-06-09	442579.0	4127754.0	92.0
2212	012-00005-14-1	2015-06-30	2015-11-03	442579.0	4127754.0	126.0
2222	012-00008-00-00	2008-03-12	2008-10-29	307097.0	4085574.0	231.0
2223	012-00008-00-10	2007-06-05	2007-10-30	523697.0	4243650.0	147.0
2228	012-00010-10	2020-05-06	2020-11-11	429027.0	4099695.0	189.0
2231	012-00012-12	2019-07-01	2019-10-07	367414.0	4167696.0	98.0
2234	012-00013-02-38	2021-03-10	2021-03-24	302.253	4.09261	14.0
2245	012-00022-05-00	2011-03-14	2011-10-25	467880.0	4229866.0	225.0
2251	012-00034-01	2015-09-09	2015-10-07	502091.0	4229791.0	28.0
2252	012-00035-00-RA	2006-03-22	2006-05-03	451324.0	4212423.0	42.0
2257	012-00040-01-01	2017-03-03	2017-11-06	302359.0	4113616.0	248.0
2262	012-00044-04-01	2013-03-18	2013-11-04	421528.0	4184541.0	231.0
2270	012-00052-00-00	2008-03-31	2008-06-16	398129.0	4200454.0	77.0
2271	012-00052-01-00	2012-03-15	2012-11-05	398162.0	4200460.0	235.0
2285	012-00075-01-01	2009-03-10	2009-11-16	321732.0	4098334.0	251.0
2288	012-00083-01	2015-09-01	2015-11-09	198523.0	4141251.0	69.0
2289	012-00090-02	2021-03-10	2021-03-17	523666.0	4246655.0	7.0
2301	012-00116-01-00	2011-04-20	2011-11-23	362427.0	4150010.0	217.0
2305	012-00128-00-00	2006-04-18	2006-08-15	446745.0	4211743.0	119.0
2312	012-00164-01	2009-03-11	2009-11-04	430533.0	4151628.0	238.0
2316	012-00187-01	2016-03-28	2016-11-02	477764.0	4214796.0	219.0
2320	012-00236-01	2016-03-15	2016-11-07	478355.0	4214945.0	237.0
2321	012-00238-01-0	2016-08-02	2016-11-07	442508.0	4186230.0	97.0
2322	012-00249-02	2017-03-20	2017-03-20	479338.0	4214650.0	0.0
2323	012-00250-03	2020-04-06	2020-10-13	479485.0	4214752.0	190.0
2326	012-00260-00-00	2006-03-14	2006-10-31	437215.0	4207454.0	231.0
2334	012-00351-01	2016-03-28	2016-11-08	470785.0	4211337.0	225.0
2340	012-00499-00-00	2006-03-20	2006-06-27	532320.0	4259327.0	99.0
2341	012-00521-00-00	2006-03-20	2006-11-15	384210.0	4147936.0	240.0
2342	012-00521-00-10	2007-03-21	2007-11-21	384210.0	4147936.0	245.0
2345	012-00596-02-01	2015-03-24	2015-11-17	380272.0	4128321.0	238.0
2346	012-00599-00-40	2009-03-18	2009-04-29	380751.0	4130001.0	42.0
2347	012-00803-00-00	2006-03-28	2006-11-08	523697.0	4243650.0	225.0
2349	012-046-2	2021-03-09	2021-03-15	465647.0	4228780.0	6.0
2350	013-00001-00-00	2006-03-29	2006-11-15	416474.0	4098414.0	231.0
2353	013-00001-23	2020-03-24	2020-04-20	752729.0	4129869.0	27.0
2360	013-00004-01	2010-04-13	2010-11-10	3955867766.0	42060313959.0	211.0
2362	013-00006-03-00	2013-04-08	2013-10-28	396078.0	4205951.0	203.0
2367	013-00010-00-00	2006-07-31	2006-11-13	483488.0	4202610.0	105.0
2372	013-00012-02-00	2021-03-10	2021-03-24	327855.0	4117000.0	14.0
2373	013-00013-13	2019-07-01	2019-10-07	370171.0	4167863.0	98.0
2376	013-00019-00	2009-03-11	2009-06-24	347836.0	4108554.0	105.0
2385	013-00021-02-01	2021-03-08	2021-03-15	323276.0	4181677.0	7.0
2393	013-00027-01-10	2019-03-19	2019-11-11	462761.0	4152962.0	237.0
2404	013-00037-01	2011-03-22	2011-10-18	444582.0	4185431.0	210.0
2405	013-00039-02-01	2015-03-17	2015-10-28	442502.0	4213902.0	225.0
2408	013-00043-01-00	2011-03-15	2011-10-31	463490.0	4227559.0	230.0
2417	013-00057-07-01	2014-03-18	2014-10-28	397634.0	4206420.0	224.0
2419	013-00061-03-01	2021-03-03	2021-03-24	310210.0	4102918.0	21.0
2427	013-00072-01-97	2014-03-17	2014-11-10	483482.0	4235982.0	238.0
2433	013-00089-01	2009-03-10	2009-11-04	422676.0	4146527.0	239.0
2434	013-00090-02-00	2021-03-01	2021-03-10	523666.0	4246655.0	9.0
2435	013-00097-01-00	2021-03-16	2021-03-16	442521.1	4185736.6	0.0
2442	013-00133-02	2012-03-28	2012-10-17	484122.0	4236818.0	203.0
2444	013-00140-04-1	2021-03-10	2021-03-10	336387.0	4146258.0	0.0
2448	013-00145-01-03	2013-03-25	2013-11-04	483656.0	4237016.0	224.0
2455	013-00188-00-00	2006-04-18	2006-08-15	444127.0	4211056.0	119.0
2462	013-00243-56-00	2020-04-07	2020-11-03	436568.0	4132038.0	210.0
2467	013-00275-01	2020-05-06	2020-11-11	437084.0	4131920.0	189.0
2472	013-00363-01	2014-03-13	2014-05-12	389938.0	4204899.0	60.0
2473	013-00371-00-00	2008-09-30	2008-10-22	390339.0	4205676.0	22.0
2474	013-00372-01	2015-09-15	2015-10-19	195910.0	4153923.0	34.0
2475	013-00377-09	2020-04-07	2020-10-28	389982.0	4204911.0	204.0
2477	013-00498-01	2015-03-25	2015-10-21	446809.0	4174241.0	210.0
2478	013-00660-00-00	2006-03-29	2006-11-13	448419.0	4094512.0	229.0
2479	013-00744-00-00	2006-03-20	2006-07-25	533575.0	4257327.0	127.0
2485	014-00002-05	2020-03-09	2020-10-19	463432.0	4226248.0	224.0
2492	014-00011-08-01	2017-03-16	2017-10-31	322573.0	4172274.0	229.0
2494	014-00012-01	2019-08-13	2019-10-08	496947.0	4233373.0	56.0
2500	014-00014-14	2019-07-01	2019-10-07	370225.0	4166377.0	98.0
2501	014-00015-00-00	2006-07-24	2006-08-16	482133.0	4204022.0	23.0
2502	014-00015-01-1	2016-03-22	2016-11-02	338679.0	4111266.0	225.0
2503	014-00015-11-1	2015-03-17	2015-09-15	338679.0	4111266.0	182.0
2505	014-00016-01-01	2021-03-03	2021-03-24	312552.0	4104001.0	21.0
2509	014-00018-00-10	2007-04-23	2007-11-05	470117.0	4208497.0	196.0
2515	014-00027-00-90	2008-03-11	2008-11-19	369854.0	4113639.0	253.0
2518	014-00027-90	2009-03-11	2009-11-18	369854.0	4113639.0	252.0
2523	014-00031-00-MZ	2007-03-19	2007-11-19	310944.0	4191694.0	245.0
