	codparcela	min_fecha	max_fecha	102_coordenada_x_(utm)	103_coordenada_y_(utm)	days
3536	023-00281-01	2015-03-20	2016-06-27	487276.0	4188505.0	465
3537	023-00290-00-00	2006-03-07	2011-11-08	413987.0	4159061.0	2072
3538	023-00373-00-00	2007-03-13	2010-11-23	374541.0	4144842.0	1351
3539	023-00386-00-00	2012-03-20	2013-11-12	413931.0	4159241.0	602
3540	023-00386-01-01	2014-03-19	2016-11-09	413931.0	4159241.0	966
3541	023-00453-05	2014-04-08	2014-10-07	506416.0	4216897.0	182
3542	023-00453-05-00	2015-02-23	2021-03-22	506599.0	4216659.0	2219
3543	023-00622-00-00	2006-03-14	2013-04-23	433670.0	4208861.0	2597
3544	023-00622-04-01	2019-03-11	2021-03-23	433002.0	4209218.0	743
3545	023-00624-01	2020-03-18	2021-03-22	432097.0	4208752.0	369
3546	024-00001-09-00	2016-03-15	2021-03-24	306945.0	4083673.0	1835
3547	024-00002-00-00	2007-03-16	2019-06-24	390727.0	4171285.0	4483
3548	024-00002-01-00	2019-03-25	2020-10-20	390727.0	4171285.0	575
3549	024-00005-00-00	2006-06-06	2006-06-19	445001.0	4178433.0	13
3550	024-00005-01-0	2020-07-07	2020-10-19	444574.0	4178006.0	104
3551	024-00006-00-00	2006-03-13	2010-11-23	391099.0	4171392.0	1716
3552	024-00007-01-07	2015-03-18	2015-11-04	485356.0	4231932.0	231
3553	024-00007-01-94	2015-03-18	2018-10-10	485356.0	4231932.0	1302
3554	024-00008-07	2010-04-13	2010-11-17	241588.0	4060892.0	218
3555	024-00008-07-00	2009-03-17	2009-11-09			237
3556	024-00016-00-00	2006-03-29	2009-11-25	349381.0	4122545.0	1337
3557	024-00016-01-01	2010-03-09	2021-03-24	349388.0	4122542.0	4033
3558	024-00016-02-00	2010-03-24	2014-11-17	343082.0	4111281.0	1699
3559	024-00017-00-00	2008-10-28	2008-10-28			0
3560	024-00019-08	2009-04-22	2011-11-30	389697.0	4172285.0	952
3561	024-00023-01	2009-07-28	2012-10-23	502698.0	4232607.0	1183
3562	024-00029-01-01	2010-03-09	2011-11-22	325741.0	4093544.0	623
3563	024-00031-00-40	2009-03-10	2009-11-23	368432.0	4114303.0	258
3564	024-00031-04	2010-03-09	2011-07-11	368432.0	4114303.0	489
3565	024-00031-04-01	2011-03-07	2014-11-19	368432.0	4114303.0	1353
3566	024-00031-04-1	2012-03-14	2012-11-21	368432.0	4114303.0	252
3567	024-00031-09-01	2009-03-11	2009-11-24	324591.0	4097486.0	258
3568	024-00033-02	2017-03-08	2017-10-03	320642.0	4127877.0	209
3569	024-00037-00-00	2006-05-30	2011-11-23	454520.0	4139938.0	2003
3570	024-00041-00-00	2010-03-29	2011-10-18	485249.0	4230815.0	568
3571	024-00043-00-00	2010-04-06	2011-09-14	488139.0	4126585.0	526
3572	024-00047-00-00	2008-09-16	2008-10-29	462580.0	4229480.0	43
3573	024-00047-01-00	2009-03-10	2009-11-09	462769.0	4229488.0	244
3574	024-00052-00-00	2006-03-08	2008-09-16	462439.0	4229507.0	923
3575	024-00052-01-1	2013-06-10	2013-11-13	462487.0	4229722.0	156
3576	024-00054-03-00	2010-03-16	2011-11-08	461740.0	4229754.0	602
3577	024-00059-00-00	2006-04-26	2009-10-28	150557.0	4146420.0	1281
3578	024-00069-16	2019-09-11	2021-03-15	386495.0	4132840.0	551
3579	024-00079-00-00	2006-03-22	2006-06-28	453672.0	4187896.0	98
3580	024-00090-03	2009-03-16	2013-11-18	300931.0	4076242.0	1708
3581	024-00099-00-00	2006-03-15	2006-11-01	408099.0	4165246.0	231
3582	024-00113-00-00	2006-03-08	2006-09-12	434270.0	4177008.0	188
3583	024-00116-01	2009-03-16	2013-11-18	302152.0	4078875.0	1708
3584	024-00131-00-00	2006-04-24	2019-07-08	455886.0	4139756.0	4823
3585	024-00131-02-00	2019-03-18	2021-03-16	455886.0	4139756.0	729
3586	024-00133-00-00	2006-04-10	2007-11-12	473243.0	4215280.0	581
3587	024-00144-03	2009-03-10	2009-11-09	409830.0	4146427.0	244
3588	024-00145-07	2015-03-20	2016-09-19	486542.0	4184931.0	549
3589	024-00178-00-00	2006-03-14	2011-11-22	383560.0	4193284.0	2079
3590	024-00181-01-00	2015-09-15	2015-11-04	393534.0	4087574.0	50
3591	024-00189-00-00	2006-04-17	2019-07-23	394339.07	4114440.36	4845
3592	024-00189-08-00	2019-03-18	2021-03-15	394278.0	4114153.0	728
3593	024-00224-00-80	2009-03-18	2009-05-06	386357.0	4131537.0	49
3594	024-00237-01	2009-03-10	2009-04-13	407998.0	4146640.0	34
3595	024-00294-02-00	2016-03-15	2016-11-15	434064.0	4176461.0	245
3596	024-00358-00-00	2006-03-06	2010-11-08	419402.0	4172311.0	1708
3597	024-00383-01-00	2009-03-09	2021-03-16	395145.0	4115501.0	4390
3598	024-00407-00-00	2006-03-13	2010-11-22	386342.0	4156195.0	1715
3599	024-00410-01-00	2015-02-23	2015-11-09	494632.0	4216060.0	259
3600	025-00001-00-00	2006-03-13	2015-10-21	390984.0	4174193.0	3509
3601	025-00001-01-01	2014-01-09	2015-03-23	366223.0	4112902.0	438
3602	025-00001-02-0	2019-08-29	2019-10-24	486208.58	4227022.52	56
3603	025-00001-13	2016-04-12	2021-03-24	478098.0	4196683.0	1807
3604	025-00001-44	2012-03-21	2015-11-24	390685.0	4174728.0	1343
3605	025-00002-00-00	2006-03-20	2015-10-21	392838.0	4171885.0	3502
3606	025-00002-01-00	2017-03-07	2019-04-17			771
3607	025-00002-10	2011-03-09	2011-07-06	340281.0	4096261.0	119
3608	025-00002-10-01	2011-03-09	2011-11-23	340281.0	4096261.0	259
3609	025-00005-00-00	2006-05-02	2015-10-21	478386.0	4193750.0	3459
3610	025-00005-02	2016-04-11	2021-03-24	478071.0	4193961.0	1808
3611	025-00006-01-01	2020-04-14	2020-06-17	390699.0	4175257.0	64
3612	025-00007-00-00	2008-03-26	2011-11-30	390699.0	4175257.0	1344
3613	025-00007-04-01	2012-03-21	2019-11-13	390699.0	4175257.0	2793
3614	025-00009-04-01	2011-03-07	2021-03-24	366981.0	4112100.0	3670
3615	025-00011-07	2021-03-09	2021-03-23			14
3616	025-00014-00-00	2006-05-02	2015-10-21	477508.0	4193692.0	3459
3617	025-00016-01-0	2018-03-23	2018-11-15	481349.0	4186162.0	237
3618	025-00016-02	2020-06-25	2020-10-19	502335.0	4231240.0	116
3619	025-00019-01-01	2018-07-16	2021-03-22	459341.0	4204045.0	980
3620	025-00020-00-00	2007-03-28	2020-10-07	427641.0	4213682.0	4942
3621	025-00020-02-00	2021-03-10	2021-03-31	321902.0	4127801.0	21
3622	025-00021-00-00	2006-03-23	2006-03-29			6
3623	025-00022-00-23	2006-03-23	2013-11-20	298564.0	4193139.0	2799
3624	025-00022-01-00	2014-03-19	2021-03-24	298564.0	4193139.0	2562
3625	025-00024-01-1	2012-03-13	2013-11-25	322338.0	4095876.0	622
3626	025-00026-03	2009-03-16	2013-11-18	304591.0	4076010.0	1708
3627	025-00031-03	2018-04-09	2021-03-23	468285.0	4224343.0	1079
3628	025-00032-04-01	2015-03-24	2015-11-24	374533.0	4131480.0	245
3629	025-00035-00-R0	2006-03-21	2007-11-06	318933.0	4084189.0	595
3630	025-00043-03	2013-08-06	2020-11-09	420639.0	4172866.0	2652
3631	025-00044-00-00	2007-04-17	2008-11-04	307977.0	4083406.0	567
3632	025-00044-01-00	2009-03-16	2011-11-22	307977.0	4083406.0	981
3633	025-00050-07-10	2021-03-10	2021-03-31			21
3634	025-00067-00-00	2006-05-30	2019-07-09	454682.0	4142124.0	4788
3635	025-00067-01-00	2019-03-19	2021-03-16	339950.0	4136242.0	728
3636	025-00072-01	2015-09-16	2015-10-20	486181.0	4229500.0	34
3637	025-00074-01	2009-07-27	2018-11-12	499043.0	4240337.0	3395
3638	025-00078-00-00	2017-03-22	2021-09-23	311542.0	4105654.0	1646
3639	025-00078-00-01	2020-03-11	2021-09-23	311542.0	4105654.0	561
3640	025-00078-01-1	2012-03-13	2013-11-25	322986.0	4093965.0	622
3641	025-00078-02-01	2021-03-03	2021-03-31	311542.0	4105654.0	28
3642	025-00087-00-00	2006-03-09	2014-11-25	366636.0	4177126.0	3183
3643	025-00087-00-20	2006-03-27	2006-11-20	366657.0	4177029.0	238
3644	025-00090-00-00	2009-03-09	2009-11-16	341242.0	4136978.0	252
3645	025-00090-03-00	2009-03-09	2009-11-24	341242.0	4136978.0	260
3646	025-00090-03-01	2010-03-10	2018-07-10	341242.0	4136978.0	3044
3647	025-00091-00-00	2006-04-17	2019-07-23	396379.47	4118733.79	4845
3648	025-00091-01-00	2019-03-18	2021-03-15	396782.0	4119083.0	728
3649	025-00105-00--1	2007-03-13	2019-06-25	340739.0	4137207.0	4487
3650	025-00105-01-01	2019-04-09	2021-03-16	340739.0	4137207.0	707
3651	025-00114-00-00	2006-05-16	2009-11-24	324055.0	4095392.0	1288
3652	025-00119-00-00	2006-04-04	2009-11-23	351695.0	4120215.0	1329
3653	025-00119-01-01	2010-03-09	2021-03-24	351694.0	4120213.0	4033
3654	025-00129-00-00	2006-03-13	2007-11-12	399039.0	4194243.0	609
3655	025-00135-01	2013-04-03	2018-04-09	470962.0	4225765.0	1832
3656	025-00135-01-00	2010-04-05	2011-11-08	470186.0	4225765.0	582
3657	025-00145-04	2009-03-18	2010-06-09	555331.0	4104234.0	448
3658	025-00145-04-00	2010-03-17	2010-06-16			91
3659	025-00146-00-00	2008-07-01	2008-11-12	399619.0	4194529.0	134
3660	025-00158-01	2009-03-09	2021-03-23	409756.0	4148580.0	4397
3661	025-00165-00-00	2009-03-09	2009-11-16	342462.0	4136847.0	252
