codparcela	min_fecha	max_fecha	102_coordenada_x_(utm)	103_coordenada_y_(utm)	days	lat	lon
005-00055-01	2015-09-01	2020-10-13	487231.0	4220481.0	1869	38.13209117154277	-3.1456989171032426
011-00477-01	2015-09-17	2020-10-20	506409.57	4225426.94	1860	38.176734809896566	-2.9268198717890335
004-00004-01	2015-09-17	2020-10-14	497520.3	4226068.03	1854	38.182532101388276	-3.0283137796594564
010-00154-01	2016-03-07	2021-03-24	423557.0	4173610.0	1843	37.706542856419944	-3.8672228660170984
004-00498-04	2016-03-07	2021-03-24	414046.0	4195970.0	1843	37.907205688188064	-3.977762206999391
008-00458-01	2016-03-07	2021-03-24	429117.0	4173134.0	1843	37.702699966800196	-3.804105912543239
016-00034-01-00	2016-03-08	2021-03-24	302909.0	4080499.0	1842	36.849869732194435	-5.210607032237685
040-00012-01-00	2016-03-07	2021-03-22	365140.0	4108921.0	1841	37.11692013170168	-4.5179672417554375
009-00094-01	2016-03-09	2021-03-24	450371.0	4136913.0	1841	37.37763166420107	-3.560561207500112
006-00277-02	2016-03-07	2021-03-22	416865.0	4165851.0	1841	37.63603454753881	-3.942247921292765
014-00574-01	2016-03-07	2021-03-22	418619.0	4163734.0	1841	37.61711258638845	-3.922134808270698
031-00054-01-00	2016-03-02	2021-03-16	377010.0	4146155.0	1840	37.454083713871526	-4.390558875462052
006-00276-05	2016-03-15	2021-03-24	428854.0	4164418.0	1835	37.62412645154718	-3.806239036930928
007-00566-02	2016-03-15	2021-03-24	435079.0	4163344.0	1835	37.614907670262866	-3.7356064441383308
024-00001-09-00	2016-03-15	2021-03-24	306945.0	4083673.0	1835	36.879294736964255	-5.166175563473453
001-00142-01	2016-03-15	2021-03-24	427270.0	4159381.0	1835	37.578606091432064	-3.8236868419654795
023-00016-01	2016-03-15	2021-03-23	463424.0	4221519.0	1834	38.14079512386152	-3.4173942103985437
005-00262-01-0	2016-03-15	2021-03-23	422308.0	4193482.0	1834	37.88552706892715	-3.8835213161286033
025-00135-01	2013-04-03	2018-04-09	470962.0	4225765.0	1832	38.17933637242553	-3.331547580942797
030-00026-04-01	2014-03-13	2019-03-19	356528.0	4179122.0	1832	37.748161182743196	-4.628518170926606
030-00008-01-00	2016-03-21	2021-03-24	352479.0	4108414.0	1829	37.110441866097865	-4.660325909189904
011-00012-02-01	2016-03-16	2021-03-17	364309.0	4210168.0	1827	38.029066326675455	-4.546067382082189
050-00010-01-00	2016-03-21	2021-03-22	354577.0	4104845.0	1827	37.07861129996415	-4.63603036996532
003-00005-34-1	2016-03-22	2021-03-23	324334.0	4101063.0	1827	37.03935943693197	-4.975216470753604
002-00064-03	2016-03-15	2021-03-16	393137.0	4160333.0	1827	37.58385520425244	-4.2103247454632164
001-00024-03-00	2016-03-16	2021-03-16	381331.0	4147307.0	1826	37.46502937148034	-4.341902458949688
039-00178-01	2016-03-23	2021-03-23	494983.0	4210285.0	1826	38.040273442687976	-3.0571742483880224
002-00005-03-3	2016-03-16	2021-03-16	343737.0	4147675.0	1826	37.46275397803209	-4.766928637400205
006-00026-01-00	2016-03-16	2021-03-16	388290.0	4146124.0	1826	37.45523608454299	-4.263049169937148
032-00016-04	2016-03-16	2021-03-16	357676.0	4137609.0	1826	37.37430841377169	-4.607434189838403
035-00046-02	2016-03-16	2021-03-15	396639.0	4143761.0	1825	37.434912163808114	-4.168338659088549
035-00011-02	2016-03-23	2021-03-22	502482.0	4218036.0	1825	38.110142026807054	-2.9716879502079343
050-00345-02-2	2016-03-16	2021-03-15	388993.0	4135716.0	1825	37.36152760030299	-4.253538486163213
007-00001-02	2016-03-23	2021-03-22	480014.0	4219581.0	1825	38.1238488078808	-3.2280217759198653
123-00090-02-01	2016-03-30	2021-03-24	374066.0	4093369.0	1820	36.97801548601183	-4.414921970800958
008-00189-01-0	2016-03-29	2021-03-23	519295.0	4233415.0	1820	38.248543419597404	-2.7794863032926647
009-00015-02-0	2016-03-28	2021-03-22	518932.0	4252919.0	1820	38.42432738835997	-2.783111459887257
036-00004-01	2016-04-08	2021-03-24	477401.0	4192077.0	1811	37.875898861063575	-3.25696698474735
025-00005-02	2016-04-11	2021-03-24	478071.0	4193961.0	1808	37.89289571954438	-3.249405929751871
026-00001-26	2016-04-12	2021-03-24	479416.0	4196439.0	1807	37.91526128019286	-3.2341796774650557
