	municipio	provincia	codigo_ngbe_text	huso_etrs89_regcan95	long_etrs89_regcan95	lat_etrs89_regcan95	x_utm_etrs89_regcan95	y_utm_etrs89_regcan95
210	martos	jaen	División administrativa.Municipio	30	-3.96731694	37.72361102	414753.3762	4175590.125
211	mengibar	jaen		30				
212	montizon	jaen		30				
213	navas de san juan	jaen	División administrativa.Municipio	30	-3.31556715	38.18386443	472363.3314	4226262.529
214	noalejo	jaen	División administrativa.Municipio	30	-3.65363388	37.52893667	442247.229	4153752.337
215	orcera	jaen	División administrativa.Municipio	30	-2.65920392	38.31772994	529791.4709	4241123.707
216	peal de becerro	jaen	División administrativa.Municipio	30	-3.12686117	37.91218339	488848.6572	4196079.243
217	pegalajar	jaen	División administrativa.Municipio	30	-3.64910065	37.73946634	442809.3606	4177107.199
218	porcuna	jaen	División administrativa.Municipio	30	-4.1843202	37.86967238	395834.2567	4192015.983
219	pozo alcon	jaen		30				
220	puerta de segura  la	jaen		30				
221	quesada	jaen	División administrativa.Municipio	30	-3.06778027	37.84747175	494036.7686	4188894.078
222	rus	jaen	División administrativa.Municipio	30	-3.4618876	38.04723586	459473.4214	4211156.634
223	sabiote	jaen	División administrativa.Municipio	30	-3.30737858	38.06925563	473038.35	4213543.716
224	santiago de calatrava	jaen	División administrativa.Municipio	30	-4.1704972	37.75328664	396888.3321	4179087.143
225	santisteban del puerto	jaen	División administrativa.Municipio	30	-3.20529254	38.2507004	482037.3871	4233651.268
226	santo tome	jaen		30				
227	segura de la sierra	jaen	División administrativa.Municipio	30	-2.6520456	38.29809816	530425.434	4238947.728
228	siles	jaen	División administrativa.Municipio	30	-2.58231025	38.38669537	536478.717	4248803.659
229	sorihuela del guadalimar	jaen	División administrativa.Municipio	30	-3.05437633	38.24012192	495241.5121	4232458.989
230	torre del campo	jaen		30				
231	torreblascopedro	jaen	División administrativa.Municipio	30	-3.63681227	37.99630661	444086.4986	4205596.52
232	torredonjimeno	jaen	División administrativa.Municipio	30	-3.95783111	37.76767149	415639.3851	4180470.093
233	torreperogil	jaen	División administrativa.Municipio	30	-3.28685384	38.03342782	474826.41	4209562.742
234	torres	jaen	División administrativa.Municipio	30	-3.51098941	37.7863017	455006.4713	4182228.116
235	torres de albanchez	jaen		30				
236	ubeda	jaen		30				
237	valdepenas de jaen	jaen		30				
238	vilches	jaen	División administrativa.Municipio	30	-3.50741052	38.20444294	455574.5348	4228620.449
239	villacarrillo	jaen	División administrativa.Municipio	30	-3.08623926	38.10893521	492439.6367	4217905.232
240	villanueva de la reina	jaen	División administrativa.Municipio	30	-3.92019472	38.0053734	419214.4092	4206810.673
241	villanueva del arzobispo	jaen	División administrativa.Municipio	30	-3.0118661	38.16962851	498960.5924	4224635.994
242	villardompardo	jaen	División administrativa.Municipio	30	-4.00116322	37.83963871	411908.362	4188495.009
243	villares  los	jaen		30				
244	villarrodrigo	jaen	División administrativa.Municipio	30	-2.63544201	38.48582539	531794.9591	4259783.541
245	alameda	malaga	División administrativa.Municipio	30	-4.66026922	37.2094587	352676.3809	4119399.727
246	alcaucin	malaga		30				
247	alfarnatejo	malaga	División administrativa.Municipio	30	-4.27201165	36.97957361	386788.5435	4093362.418
248	almargen	malaga	División administrativa.Municipio	30	-5.02113921	37.00211364	320161.5851	4097016.317
249	alora	malaga		30				
250	alozaina	malaga	División administrativa.Municipio	30	-4.85529513	36.72826442	334329.2419	4066332.94
